Batch,Data_Wait_Time_ms,Compute_Time_ms,Total_Time_ms,Stall_Percentage
69,7.06060791015625,563.4254760742188,570.486083984375,1.2376477022618544
70,8.9966402053833,511.1485900878906,520.1452302932739,1.7296400469366444
71,10.303232192993164,484.1612243652344,494.46445655822754,2.083715433200175
72,11.956735610961914,453.0860290527344,465.0427646636963,2.5711045347858783
73,10.372991561889648,532.0514526367188,542.4244441986084,1.9123385151299677
74,14.726367950439453,507.50634765625,522.2327156066895,2.8198861370321278
75,24.575071334838867,387.27337646484375,411.8484477996826,5.967018078162538
76,7.141536235809326,421.1172790527344,428.2588152885437,1.6675748357912128
77,16.330623626708984,417.0622863769531,433.3929100036621,3.768087398238931
78,11.082048416137695,373.4243469238281,384.5063953399658,2.8821493089443604
79,23.767135620117188,423.03680419921875,446.80393981933594,5.319365722183956
80,14.5250244140625,445.44085693359375,459.96588134765625,3.1578482237651104
81,14.775551795959473,490.4037170410156,505.1792688369751,2.924813567661987
82,14.890432357788086,410.95062255859375,425.84105491638184,3.496711316552598
83,19.77676773071289,466.648681640625,486.4254493713379,4.06573458610618
84,33.974143981933594,466.8962097167969,500.87035369873047,6.783021540613836
85,14.138208389282227,441.89324951171875,456.031457901001,3.100270418702445
86,17.066272735595703,473.48272705078125,490.54899978637695,3.4790148880188685
87,17.562719345092773,478.7786865234375,496.3414058685303,3.5384352660162195
88,16.620512008666992,403.6071472167969,420.22765922546387,3.955120907391206
89,12.730624198913574,446.9708557128906,459.7014799118042,2.769324171276543
90,14.555423736572266,475.46807861328125,490.0235023498535,2.9703521702068048
91,12.021280288696289,441.1358947753906,453.1571750640869,2.6527838353207587
92,7.447264194488525,378.3592529296875,385.806517124176,1.9303106256475036
93,6.488671779632568,502.54547119140625,509.0341429710388,1.2747026637075183
94,10.15875244140625,398.4528503417969,408.6116027832031,2.486163479502606
95,9.050399780273438,464.29193115234375,473.3423309326172,1.9120199459958738
96,6.475135803222656,465.879150390625,472.35428619384766,1.3708218581857752
97,10.610655784606934,368.32489013671875,378.9355459213257,2.800121524310604
98,6.513823986053467,522.1784057617188,528.6922297477722,1.2320634992424748
99,6.5320000648498535,476.6750183105469,483.20701837539673,1.3518015708487154
100,6.887008190155029,433.98931884765625,440.8763270378113,1.5621179382499193
101,6.896895885467529,466.471435546875,473.36833143234253,1.4569829512250096
102,7.444128036499023,484.8602294921875,492.3043575286865,1.5120987500227956
103,7.783423900604248,439.3906555175781,447.1740794181824,1.7405802927422025
104,6.56879997253418,460.47442626953125,467.04322624206543,1.4064650986137233
105,10.22697639465332,382.6961669921875,392.9231433868408,2.6027930822554413
106,8.201855659484863,455.50390625,463.70576190948486,1.7687629383147199
107,7.796192169189453,487.08673095703125,494.8829231262207,1.575360919697975
108,11.244095802307129,396.2143859863281,407.45848178863525,2.7595684725836396
109,7.061823844909668,559.572509765625,566.6343336105347,1.2462753183190411
110,19.865184783935547,446.4155578613281,466.2807426452637,4.260348534069431
111,7.679391860961914,431.1142578125,438.7936496734619,1.7501146305733244
112,6.624159812927246,387.70135498046875,394.325514793396,1.6798709605179687
113,15.203968048095703,537.734130859375,552.9380989074707,2.7496691000559816
114,15.85529613494873,504.5911865234375,520.4464826583862,3.0464796407041765
115,12.898240089416504,439.7175598144531,452.61579990386963,2.8497105253850927
116,9.57481575012207,507.3093566894531,516.8841724395752,1.8524103194979114
117,6.609856128692627,486.92938232421875,493.5392384529114,1.3392767208160439
118,12.46678352355957,401.3705139160156,413.8372974395752,3.012484278408922
119,6.720479965209961,428.68035888671875,435.4008388519287,1.5435156218188786
120,7.765567779541016,375.06951904296875,382.83508682250977,2.0284367987256333
121,6.5708160400390625,513.6687622070312,520.2395782470703,1.2630365536930515
122,23.91823959350586,529.8575439453125,553.7757835388184,4.3191198142793565
123,6.771488189697266,411.5205383300781,418.2920265197754,1.6188422825165023
124,6.5120320320129395,433.5328369140625,440.04486894607544,1.4798563718307884
125,11.215456008911133,512.4297485351562,523.6452045440674,2.1418043957217785
126,6.89353609085083,449.0443420410156,455.93787813186646,1.5119463465277345
127,6.7317118644714355,434.61724853515625,441.3489603996277,1.525258348490519
128,7.649439811706543,425.4257507324219,433.0751905441284,1.7663075555299212
129,7.522336006164551,500.71636962890625,508.2387056350708,1.480079325474631
130,6.7099199295043945,457.90704345703125,464.61696338653564,1.444183156937839
131,7.334591865539551,523.3749389648438,530.7095308303833,1.3820350755833162
132,6.490911960601807,425.4849853515625,431.9758973121643,1.502609752300878
133,6.4422078132629395,400.4245300292969,406.8667378425598,1.5833704783593787
134,6.514688014984131,402.59295654296875,409.1076445579529,1.592414148609555
135,6.456704139709473,420.9667663574219,427.42347049713135,1.5106105736776116
136,6.488160133361816,398.002685546875,404.4908456802368,1.6040313897464364
137,6.522208213806152,372.81671142578125,379.3389196395874,1.7193617306663256
138,6.483776092529297,380.0728759765625,386.5566520690918,1.677315875389569
139,9.060511589050293,358.80279541015625,367.86330699920654,2.463010421713475
140,0.5885440111160278,379.2252502441406,379.81379425525665,0.15495593367535582
141,13.37065601348877,358.3065185546875,371.67717456817627,3.5973842162955334
142,3.0750720500946045,363.6484375,366.7235095500946,0.8385260202890124
143,6.424704074859619,359.9119567871094,366.336660861969,1.7537704415776085
144,6.489727973937988,360.9869079589844,367.47663593292236,1.7660246501011823
